TOMO 09 — COLECCIONABLES

Cabezones, revistas, holocintas, notas, llaves, terminales y objetos únicos.

Edición 5.1 — Versión refinada para lectura de libro

Nota editorial: esta versión conserva la información útil de las iteraciones anteriores, unifica fichas heredadas bajo IDs maestros y retira del cuerpo principal títulos técnicos repetidos, separadores visuales y marcas internas de trabajo. Las fuentes, alias y notas de trazabilidad no se pierden: se conservan en apéndice cuando corresponde.
## Validación final de coleccionables

Los coleccionables se publican con tres estados posibles: validado, operativo de mesa o pendiente de validación fina. No se inventan nombres oficiales cuando no estén confirmados.

| Estado | Uso en libro |
|---|---|
| Validado | aparece como ficha canónica completa |
| Operativo de mesa | puede usarse como pista, llave, nota o terminal sin nombre oficial |
| Pendiente | se conserva para revisión, no se elimina |

### Uso jugable
Un coleccionable debe indicar al menos: ID COL, tipo, ubicación U, subzona o punto físico, uso, riesgo, recompensa y cruce con misión/facción si aplica.

TOMO 09 — COLECCIONABLES: USO JUGABLE Y PISTAS

1. TIPO DE USO JUGABLE
Cada COL debe clasificarse como minimo en uno de estos usos:
- Bonus: entrega efecto mecanico.
- Pista: abre informacion o ruta.
- Lore: aporta contexto sin efecto directo.
- Mision: requerido para avanzar o cerrar objetivo.
- Llave/Acceso: abre puerta, terminal, caja, ruta o subzona.
- Recompensa: objeto unico, revista, cabezon, holocinta o documento valioso.

2. CUANDO UN COLECCIONABLE NO TIENE NOMBRE OFICIAL VALIDADO
No inventar nombre canonico. Usar:
COL-xxxx — Registro operativo de mesa
Nombre oficial: REQUIERE_VALIDACION
Ubicacion: U-xxxx si existe
Subzona: segun Tomo 06
Uso: pista/lore/mision/llave/recompensa

3. TERMINALES, NOTAS Y HOLOCINTAS EN MISIONES
Si una mision pide un registro, usar Tomo 09 como fuente de ID. Si no existe ficha, crear alias pendiente en vez de usar ID de bestiario, arma o ubicacion.


Criterio aplicado:
- No se elimina ninguna ficha COL previa; este bloque añade una capa operativa para los pendientes detectados en I4.6.
- Tomo 01 y Tomo 10 permanecen intactos y fuera de esta entrega.
- Las entradas de esta sección se derivan del mapa táctico textual del Tomo 06: ubicación U, subzona, terminal/objeto, AP e interacción.
- Cuando el Atlas dice 'holocinta/nota/entrada posible', el nombre es operativo y no canónico; no se inventa un nombre oficial de lore.
- Si más adelante se valida el nombre oficial de una holocinta, nota, llave o terminal, se reemplaza el nombre operativo conservando el ID COL como alias.
- AP significa siempre Puntos de Acción.

### Tabla operativa I4.7
| ID | Tipo operativo | Nombre operativo / estado | Ubicación Tomo 06 | ID U | Subzona exacta | Soporte / interacción | AP recomendado | Estado |
| COL-0578 | Terminal + Holocinta/Nota/Entrada | Registro local de Military convoy (elevated freeway) — Punto de control exterior | Military convoy (elevated freeway) | U-0398 | Punto de control exterior | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 0-1 AP para entrar o posicionarse | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0579 | Terminal + Holocinta/Nota/Entrada | Registro local de Military convoy (elevated freeway) — Sala de mando / comunicaciones | Military convoy (elevated freeway) | U-0398 | Sala de mando / comunicaciones | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0580 | Terminal + Holocinta/Nota/Entrada | Registro local de Military convoy (elevated freeway) — Torretas / sensores / terminales | Military convoy (elevated freeway) | U-0398 | Torretas / sensores / terminales | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0581 | Terminal + Holocinta/Nota/Entrada | Registro local de Military barge (University Point) — Punto de control exterior | Military barge (University Point) | U-0400 | Punto de control exterior | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 0-1 AP para entrar o posicionarse | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0582 | Terminal + Holocinta/Nota/Entrada | Registro local de Military barge (University Point) — Sala de mando / comunicaciones | Military barge (University Point) | U-0400 | Sala de mando / comunicaciones | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0583 | Terminal + Holocinta/Nota/Entrada | Registro local de Military barge (University Point) — Torretas / sensores / terminales | Military barge (University Point) | U-0400 | Torretas / sensores / terminales | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0584 | Terminal + Holocinta/Nota/Entrada | Registro local de Deep Trench Wreckage — Oficina o edificio principal | Deep Trench Wreckage | U-0404 | Oficina o edificio principal | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0585 | Terminal + Holocinta/Nota/Entrada | Registro local de Waystation (Gunners' Plaza) — Vestibulo o control de acceso | Waystation (Gunners' Plaza) | U-0407 | Vestibulo o control de acceso | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0586 | Terminal + Holocinta/Nota/Entrada | Registro local de Waystation (Gunners' Plaza) — Sala tecnica / generadores | Waystation (Gunners' Plaza) | U-0407 | Sala tecnica / generadores | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0587 | Terminal + Holocinta/Nota/Entrada | Registro local de Waystation (Gunners' Plaza) — Oficinas o sala de seguridad | Waystation (Gunners' Plaza) | U-0407 | Oficinas o sala de seguridad | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0588 | Terminal + Holocinta/Nota/Entrada | Registro local de The Small Dig — Vestibulo / recepcion | The Small Dig | U-0409 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0589 | Terminal + Holocinta/Nota/Entrada | Registro local de The Small Dig — Cuartos u oficinas | The Small Dig | U-0409 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0590 | Terminal + Holocinta/Nota/Entrada | Registro local de Military Pillboxes — Punto de control exterior | Military Pillboxes | U-0411 | Punto de control exterior | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 0-1 AP para entrar o posicionarse | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0591 | Terminal + Holocinta/Nota/Entrada | Registro local de Military Pillboxes — Sala de mando / comunicaciones | Military Pillboxes | U-0411 | Sala de mando / comunicaciones | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0592 | Terminal + Holocinta/Nota/Entrada | Registro local de Military Pillboxes — Torretas / sensores / terminales | Military Pillboxes | U-0411 | Torretas / sensores / terminales | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0593 | Terminal + Holocinta/Nota/Entrada | Registro local de Old Military Monument — Punto de control exterior | Old Military Monument | U-0412 | Punto de control exterior | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 0-1 AP para entrar o posicionarse | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0594 | Terminal + Holocinta/Nota/Entrada | Registro local de Old Military Monument — Sala de mando / comunicaciones | Old Military Monument | U-0412 | Sala de mando / comunicaciones | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0595 | Terminal + Holocinta/Nota/Entrada | Registro local de Old Military Monument — Torretas / sensores / terminales | Old Military Monument | U-0412 | Torretas / sensores / terminales | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0596 | Terminal + Holocinta/Nota/Entrada | Registro local de Overflow Outlet Camp (Atomatoys Factory) — Recepcion u oficina | Overflow Outlet Camp (Atomatoys Factory) | U-0413 | Recepcion u oficina | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0597 | Terminal + Holocinta/Nota/Entrada | Registro local de Overflow Outlet Camp (Atomatoys Factory) — Laboratorio o zona tecnica | Overflow Outlet Camp (Atomatoys Factory) | U-0413 | Laboratorio o zona tecnica | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0598 | Terminal + Holocinta/Nota/Entrada | Registro local de Quincy Lighthouse — Oficina o edificio principal | Quincy Lighthouse | U-0417 | Oficina o edificio principal | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0599 | Terminal + Holocinta/Nota/Entrada | Registro local de Charles River Boathouse — Vestibulo / recepcion | Charles River Boathouse | U-0420 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0600 | Terminal + Holocinta/Nota/Entrada | Registro local de Charles River Boathouse — Cuartos u oficinas | Charles River Boathouse | U-0420 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0601 | Terminal + Holocinta/Nota/Entrada | Registro local de Red Rocket Filling Station (College Square) — Vestibulo o control de acceso | Red Rocket Filling Station (College Square) | U-0421 | Vestibulo o control de acceso | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0602 | Terminal + Holocinta/Nota/Entrada | Registro local de Red Rocket Filling Station (College Square) — Sala tecnica / generadores | Red Rocket Filling Station (College Square) | U-0421 | Sala tecnica / generadores | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0603 | Terminal + Holocinta/Nota/Entrada | Registro local de Red Rocket Filling Station (College Square) — Oficinas o sala de seguridad | Red Rocket Filling Station (College Square) | U-0421 | Oficinas o sala de seguridad | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0604 | Terminal + Holocinta/Nota/Entrada | Registro local de Red Rocket Filling Station (North Central Cambridge) — Vestibulo o control de acceso | Red Rocket Filling Station (North Central Cambridge) | U-0426 | Vestibulo o control de acceso | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0605 | Terminal + Holocinta/Nota/Entrada | Registro local de Red Rocket Filling Station (North Central Cambridge) — Sala tecnica / generadores | Red Rocket Filling Station (North Central Cambridge) | U-0426 | Sala tecnica / generadores | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0606 | Terminal + Holocinta/Nota/Entrada | Registro local de Red Rocket Filling Station (North Central Cambridge) — Oficinas o sala de seguridad | Red Rocket Filling Station (North Central Cambridge) | U-0426 | Oficinas o sala de seguridad | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0607 | Terminal + Holocinta/Nota/Entrada | Registro local de Cambridge Park and Old Covered Alley — Oficina o edificio principal | Cambridge Park and Old Covered Alley | U-0428 | Oficina o edificio principal | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0608 | Terminal + Holocinta/Nota/Entrada | Registro local de Raider Rooftop Apartments (Cambridge) — Vestibulo / recepcion | Raider Rooftop Apartments (Cambridge) | U-0432 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0609 | Terminal + Holocinta/Nota/Entrada | Registro local de Raider Rooftop Apartments (Cambridge) — Cuartos u oficinas | Raider Rooftop Apartments (Cambridge) | U-0432 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0610 | Terminal + Holocinta/Nota/Entrada | Registro local de Kendall Raider Apartments — Vestibulo / recepcion | Kendall Raider Apartments | U-0435 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0611 | Terminal + Holocinta/Nota/Entrada | Registro local de Kendall Raider Apartments — Cuartos u oficinas | Kendall Raider Apartments | U-0435 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0612 | Terminal + Holocinta/Nota/Entrada | Registro local de Public Works Maintenance Area — Recepcion u oficina | Public Works Maintenance Area | U-0437 | Recepcion u oficina | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0613 | Terminal + Holocinta/Nota/Entrada | Registro local de Public Works Maintenance Area — Laboratorio o zona tecnica | Public Works Maintenance Area | U-0437 | Laboratorio o zona tecnica | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0614 | Terminal + Holocinta/Nota/Entrada | Registro local de Abandoned House — Vestibulo / recepcion | Abandoned House | U-0444 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0615 | Terminal + Holocinta/Nota/Entrada | Registro local de Abandoned House — Cuartos u oficinas | Abandoned House | U-0444 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0616 | Terminal + Holocinta/Nota/Entrada | Registro local de Shelled-Out Building — Vestibulo / recepcion | Shelled-Out Building | U-0446 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0617 | Terminal + Holocinta/Nota/Entrada | Registro local de Shelled-Out Building — Cuartos u oficinas | Shelled-Out Building | U-0446 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0618 | Terminal + Holocinta/Nota/Entrada | Registro local de South Apartments (Charlestown) — Vestibulo / recepcion | South Apartments (Charlestown) | U-0448 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0619 | Terminal + Holocinta/Nota/Entrada | Registro local de South Apartments (Charlestown) — Cuartos u oficinas | South Apartments (Charlestown) | U-0448 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0620 | Terminal + Holocinta/Nota/Entrada | Registro local de Fens Subway Station (Outskirts) — Vestibulo o control de acceso | Fens Subway Station (Outskirts) | U-0449 | Vestibulo o control de acceso | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0621 | Terminal + Holocinta/Nota/Entrada | Registro local de Fens Subway Station (Outskirts) — Sala tecnica / generadores | Fens Subway Station (Outskirts) | U-0449 | Sala tecnica / generadores | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0622 | Terminal + Holocinta/Nota/Entrada | Registro local de Fens Subway Station (Outskirts) — Oficinas o sala de seguridad | Fens Subway Station (Outskirts) | U-0449 | Oficinas o sala de seguridad | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0623 | Terminal + Holocinta/Nota/Entrada | Registro local de Fens Tunnel Entrance — Vestibulo o control de acceso | Fens Tunnel Entrance | U-0450 | Vestibulo o control de acceso | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0624 | Terminal + Holocinta/Nota/Entrada | Registro local de Fens Tunnel Entrance — Sala tecnica / generadores | Fens Tunnel Entrance | U-0450 | Sala tecnica / generadores | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0625 | Terminal + Holocinta/Nota/Entrada | Registro local de Fens Tunnel Entrance — Oficinas o sala de seguridad | Fens Tunnel Entrance | U-0450 | Oficinas o sala de seguridad | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0626 | Terminal + Holocinta/Nota/Entrada | Registro local de Super Mutant Alley Apartments — Vestibulo / recepcion | Super Mutant Alley Apartments | U-0451 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0627 | Terminal + Holocinta/Nota/Entrada | Registro local de Super Mutant Alley Apartments — Cuartos u oficinas | Super Mutant Alley Apartments | U-0451 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0628 | Terminal + Holocinta/Nota/Entrada | Registro local de Diner and Apartments (The Fens) — Vestibulo / recepcion | Diner and Apartments (The Fens) | U-0456 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0629 | Terminal + Holocinta/Nota/Entrada | Registro local de Diner and Apartments (The Fens) — Cuartos u oficinas | Diner and Apartments (The Fens) | U-0456 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0630 | Terminal + Holocinta/Nota/Entrada | Registro local de Diamond City Scrap — Casa del alcalde y oficinas | Diamond City Scrap | U-0460 | Casa del alcalde y oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0631 | Terminal + Holocinta/Nota/Entrada | Registro local de Holy Mission Congregation Church — Vestibulo / recepcion | Holy Mission Congregation Church | U-0463 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0632 | Terminal + Holocinta/Nota/Entrada | Registro local de Holy Mission Congregation Church — Cuartos u oficinas | Holy Mission Congregation Church | U-0463 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0633 | Terminal + Holocinta/Nota/Entrada | Registro local de Malborough House — Vestibulo / recepcion | Malborough House | U-0466 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0634 | Terminal + Holocinta/Nota/Entrada | Registro local de Malborough House — Cuartos u oficinas | Malborough House | U-0466 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0635 | Terminal + Holocinta/Nota/Entrada | Registro local de Beacon Hill Apartments — Vestibulo / recepcion | Beacon Hill Apartments | U-0479 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0636 | Terminal + Holocinta/Nota/Entrada | Registro local de Beacon Hill Apartments — Cuartos u oficinas | Beacon Hill Apartments | U-0479 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0637 | Terminal + Holocinta/Nota/Entrada | Registro local de Demolished Apartment Tower (Beacon Hill) — Vestibulo / recepcion | Demolished Apartment Tower (Beacon Hill) | U-0480 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0638 | Terminal + Holocinta/Nota/Entrada | Registro local de Demolished Apartment Tower (Beacon Hill) — Cuartos u oficinas | Demolished Apartment Tower (Beacon Hill) | U-0480 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
